Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
31.0,35.0,0.47063863575288,13.5,4.5
31.25,33.75,0.4309452238773,22.5,-13.5
31.25,34.0,0.17177116731873,29.25,-11.25
31.25,34.25,0.21605686370373,31.5,-9.0
31.25,34.5,0.35140282987193,31.5,-6.75
31.25,34.75,0.56502309142264,31.5,-4.5
31.25,35.0,0.66787822464325,33.75,-2.25
31.25,35.25,0.53400623318686,33.75,0.0
31.25,35.5,0.51032398194488,33.75,2.25
31.25,35.75,0.73299830596443,33.75,4.5
31.25,36.0,0.52356025802754,31.5,9.0
31.25,36.25,0.13760887939426,27.0,11.25
31.5,33.25,0.49578476402745,27.0,-20.25
31.5,33.5,0.54088500734817,29.25,-18.0
31.5,33.75,0.50808334628994,29.25,-13.5
31.5,34.0,0.35692924958612,29.25,-11.25
31.5,34.25,0.12362036208176,29.25,-9.0
31.5,34.5,0.049444914060682,29.25,-6.75
31.5,34.75,0.056728068688668,29.25,-4.5
31.5,35.0,0.14815030514547,29.25,-2.25
31.5,35.25,0.25447127712967,29.25,0.0
31.5,35.5,0.45769984476908,29.25,2.25
31.5,35.75,0.4448233509787,31.5,4.5
31.5,36.0,0.24524314988961,31.5,6.75
31.5,36.25,0.68326390154775,31.5,9.0
31.5,36.5,0.7339544454762,31.5,13.5
31.5,36.75,0.5347914466688,31.5,15.75
31.75,32.75,0.306884724053,24.75,-22.5
31.75,33.0,0.36084740012714,27.0,-22.5
31.75,33.25,0.65864131552714,27.0,-20.25
31.75,33.5,0.29746873185226,27.0,-15.75
31.75,33.75,0.43133795176877,27.0,-13.5
31.75,34.0,0.62348672505492,24.75,-11.25
31.75,34.25,0.55780326841812,24.75,-9.0
31.75,34.5,0.33920636499617,24.75,-6.75
31.75,34.75,0.088188041158213,24.75,-4.5
31.75,35.0,0.251693214989,24.75,-2.25
31.75,35.25,0.588755598472,24.75,0.0
31.75,35.5,0.63262214366808,24.75,0.0
31.75,35.75,0.60130025309146,27.0,2.25
31.75,36.0,0.52214473171519,27.0,4.5
31.75,36.25,0.72560560912694,29.25,9.0
31.75,36.5,0.1581133675595,29.25,11.25
31.75,36.75,0.6914203782946,31.5,13.5
31.75,37.0,0.54858758252233,31.5,18.0
31.75,37.25,0.15496528925026,29.25,18.0
32.0,32.5,0.76216483094859,24.75,-27.0
32.0,32.75,0.60604094972032,24.75,-24.75
32.0,33.0,0.66534236243245,24.75,-22.5
32.0,33.25,0.39394151295998,24.75,-18.0
32.0,33.5,0.46889413220508,22.5,-13.5
32.0,33.75,0.24361410433327,22.5,-11.25
32.0,34.0,0.58095873409732,22.5,-9.0
32.0,34.25,0.47541756999665,20.25,-6.75
32.0,34.5,0.40970010872924,20.25,-4.5
32.0,34.75,0.47123387389946,20.25,-4.5
32.0,35.0,0.15409971178533,20.25,-2.25
32.0,35.25,0.6197935082735,20.25,-2.25
32.0,35.5,0.51363608688802,20.25,0.0
32.0,35.75,0.47011680042187,22.5,2.25
32.0,36.0,0.32977398635698,22.5,4.5
32.0,36.25,0.6055377559074,22.5,6.75
32.0,36.5,0.26882777834903,24.75,9.0
32.0,36.75,0.38848378636495,27.0,13.5
32.0,37.0,0.55305648770844,29.25,15.75
32.0,37.25,0.67880918193384,29.25,20.25
32.0,37.5,0.60258208694173,31.5,20.25
32.25,32.25,0.35288120134598,24.75,-27.0
32.25,32.5,0.43659739525363,24.75,-27.0
32.25,32.75,0.3846462191256,22.5,-22.5
32.25,33.0,0.76316592144953,22.5,-18.0
32.25,33.25,0.4866679771785,20.25,-15.75
32.25,33.5,0.57013926241802,18.0,-11.25
32.25,33.75,0.143902058406,18.0,-9.0
32.25,34.0,0.28420841751397,18.0,-6.75
32.25,34.25,0.62993646253547,18.0,-4.5
32.25,34.5,0.60250701977158,15.75,-4.5
32.25,34.75,0.56116167607242,15.75,-2.25
32.25,35.0,0.3375257301338,15.75,-2.25
32.25,35.25,0.76555048446378,15.75,-2.25
32.25,35.5,0.56953503642964,18.0,0.0
32.25,35.75,0.63272937256486,18.0,0.0
32.25,36.0,0.29995010250593,18.0,2.25
32.25,36.25,0.60858724484941,20.25,4.5
32.25,36.5,0.41591965475238,20.25,6.75
32.25,36.75,0.31491850830076,22.5,11.25
32.25,37.0,0.60958857245034,24.75,13.5
32.25,37.25,0.41946589216914,27.0,18.0
32.25,37.5,0.82469444081167,29.25,20.25
32.25,37.75,0.57756325738952,29.25,22.5
32.5,32.0,0.40252074165747,22.5,-29.25
32.5,32.25,0.18773774836761,22.5,-29.25
32.5,32.5,0.52184771792768,20.25,-24.75
32.5,32.75,0.47570989259045,20.25,-20.25
32.5,33.0,0.19376235094835,18.0,-15.75
32.5,33.25,0.75102191938377,15.75,-11.25
32.5,33.5,0.1182206264447,15.75,-9.0
32.5,33.75,0.422348019696,15.75,-6.75
32.5,34.0,0.59144629438487,13.5,-4.5
32.5,34.25,0.40626783761766,13.5,-4.5
32.5,34.5,0.39854038309835,13.5,-2.25
32.5,34.75,0.13408324368651,13.5,-2.25
32.5,35.0,0.37387830077521,13.5,-2.25
32.5,35.25,0.62819265485775,13.5,-2.25
32.5,35.5,0.23354212000905,13.5,0.0
32.5,35.75,0.50654778215644,13.5,0.0
32.5,36.0,0.49470734065423,15.75,2.25
32.5,36.25,0.49734479672482,15.75,4.5
32.5,36.5,0.72439469356379,18.0,6.75
32.5,36.75,0.2534514693031,18.0,9.0
32.5,37.0,0.56954100739431,20.25,13.5
32.5,37.25,0.43418178262378,22.5,15.75
32.5,37.5,0.23443378054285,24.75,20.25
32.5,37.75,0.55393125982018,27.0,22.5
32.5,38.0,0.5645791969383,27.0,22.5
32.75,31.75,0.76585904241543,22.5,-29.25
32.75,32.0,0.35074154978336,20.25,-31.5
32.75,32.25,0.67506439428117,20.25,-27.0
32.75,32.5,0.26612822050057,18.0,-22.5
32.75,32.75,0.22094749810482,15.75,-18.0
32.75,33.0,0.56342410931901,15.75,-13.5
32.75,33.25,0.50753141349409,13.5,-9.0
32.75,33.5,0.50850083745556,13.5,-6.75
32.75,33.75,0.54196531554034,11.25,-4.5
32.75,34.0,0.38553300099718,11.25,-4.5
32.75,34.25,0.36640457847602,11.25,-2.25
32.75,34.5,0.41155661824206,11.25,-2.25
